date,state,positive,negative,pending,hospitalized,death,total,dateChecked
20200307,RI,2,,,,,2,2020-03-07T21:00:00Z
20200307,MN,1,48,,,,49,2020-03-07T21:00:00Z
20200307,WI,1,31,12,,,44,2020-03-07T21:00:00Z
20200307,NE,1,17,5,,,23,2020-03-07T21:00:00Z
20200307,NV,1,14,,,,15,2020-03-07T21:00:00Z
20200307,KY,1,9,,,,10,2020-03-07T21:00:00Z
20200307,HI,1,,,,,1,2020-03-07T21:00:00Z
20200307,IN,1,,,,,1,2020-03-07T21:00:00Z
20200307,OK,1,,,,,1,2020-03-07T21:00:00Z
20200307,TN,1,,,,,1,2020-03-07T21:00:00Z
20200307,UT,1,,,,,1,2020-03-07T21:00:00Z
20200307,NM,0,48,0,,,48,2020-03-07T21:00:00Z
20200307,VA,0,31,7,,,38,2020-03-07T21:00:00Z
20200307,ID,0,27,,,,27,2020-03-07T21:00:00Z
20200307,MI,0,18,9,,,27,2020-03-07T21:00:00Z
20200307,IA,0,15,2,,,17,2020-03-07T21:00:00Z
20200307,VT,0,16,,,,16,2020-03-07T21:00:00Z
